timestamp,Hanover Park IL TGS - ESN (),Hanover Park IL TGS - Reflector_url  (),Hanover Park IL TGS - Reflector_status (),Hanover Park IL TGS - GPS_gs (meter_per_sec),Hanover Park IL TGS - Location (),Hanover Park IL TGS - Outside_Temp (°F),Hanover Park IL TGS - Conveyor_RPM (),Hanover Park IL TGS - Liq_GPM (gal/min),Hanover Park IL TGS - Pressure (psi),Hanover Park IL TGS - GPS_gs - transformed (meter_per_sec),Hanover Park IL TGS - Liq_GPM - transformed (gal/min)
"2019-02-01T05:54:48.845100Z","","","","","","","","",767.0,"",""
"2019-02-01T05:54:48.844299Z","","","","","","",7380.0,960.0,"","",960.0012642225032
"2019-02-01T05:54:44.998818Z","","","","","{""alt"":257.636,""lat"":42.0140722,""lng"":-88.13595704}","","","","","",""
"2019-02-01T05:54:44.998733Z","","","",2.893,"","","","","",5.1299399999999995,""
"2019-02-01T05:54:43.844998Z","","","","","","","","",793.0,"",""
"2019-02-01T05:54:43.844220Z","","","","","","",7740.0,"","","",""
"2019-02-01T05:54:42.844233Z","","","","","","","",1320.0,"","",1320.001264222503
"2019-02-01T05:54:38.996494Z","","","","","{""alt"":252.611,""lat"":42.01378725,""lng"":-88.1359674}","","","","","",""
"2019-02-01T05:54:38.996404Z","","","",7.811,"","","","","",10.04794,""
"2019-02-01T05:54:38.844972Z","","","","","","","","",698.0,"",""
"2019-02-01T05:54:38.844173Z","","","","","","",9240.0,"","","",""
"2019-02-01T05:54:37.844167Z","","","","","","","",1620.0,"","",1620.001264222503
"2019-02-01T05:54:34.996681Z","","","","","{""alt"":248.929,""lat"":42.01352145,""lng"":-88.13595392}","","","","","",""
"2019-02-01T05:54:34.996595Z","","","",8.356,"","","","","",10.59294,""
"2019-02-01T05:54:33.844950Z","","","","","","","","",773.0,"",""
"2019-02-01T05:54:33.844115Z","","","","","","",10140.0,2280.0,"","",2280.0012642225033
"2019-02-01T05:54:28.844796Z","","","","","","","","",933.0,"",""
"2019-02-01T05:54:28.843997Z","","","","","","",9420.0,600.0,"","",600.0012642225032
"2019-02-01T05:54:28.002385Z","","","","","{""alt"":249.066,""lat"":42.01303518,""lng"":-88.13575933}","","","","","",""
"2019-02-01T05:54:28.002259Z","","","",7.447,"","","","","",9.68394,""
"2019-02-01T05:54:25.003144Z","","","","","{""alt"":250.384,""lat"":42.01285607,""lng"":-88.13573825}","","","","","",""
"2019-02-01T05:54:25.003058Z","","","",5.699,"","","","","",7.93594,""
"2019-02-01T05:54:23.844723Z","","","","","","","","",618.0,"",""
"2019-02-01T05:54:23.843956Z","","","","","","",7680.0,"","","",""
"2019-02-01T05:54:22.843930Z","","","","","","","",1320.0,"","",1320.001264222503
"2019-02-01T05:54:19.000895Z","","","","","{""alt"":247.873,""lat"":42.01271407,""lng"":-88.13567258}","","","","","",""
"2019-02-01T05:54:19.000812Z","","","",3.124,"","","","","",5.36094,""
"2019-02-01T05:54:18.844669Z","","","","","","","","",511.0,"",""
"2019-02-01T05:54:18.843845Z","","","","","","",3060.0,1320.0,"","",1320.001264222503
"2019-02-01T05:54:14.999680Z","","","","","{""alt"":247.251,""lat"":42.01271899,""lng"":-88.13542296}","","","","","",""
"2019-02-01T05:54:14.999596Z","","","",8.095,"","","","","",10.331940000000001,""
"2019-02-01T05:54:13.844568Z","","","","","","","","",844.0,"",""
"2019-02-01T05:54:13.843776Z","","","","","","",11220.0,2040.0,"","",2040.001264222503
"2019-02-01T05:54:09.001091Z","","","","","{""alt"":246.962,""lat"":42.01275502,""lng"":-88.13471899}","","","","","",""
"2019-02-01T05:54:09.001006Z","","","",10.242,"","","","","",12.478940000000001,""
"2019-02-01T05:54:08.844562Z","","","","","","","","",775.0,"",""
"2019-02-01T05:54:08.843734Z","","","","","","",12720.0,2340.0,"","",2340.0012642225033
"2019-02-01T05:54:05.001208Z","","","","","{""alt"":247.742,""lat"":42.0128249,""lng"":-88.13422691}","","","","","",""
"2019-02-01T05:54:05.001125Z","","","",10.578,"","","","","",12.81494,""
"2019-02-01T05:54:03.844498Z","","","","","","","","",854.0,"",""
"2019-02-01T05:54:03.843635Z","","","","","","",12660.0,2340.0,"","",2340.0012642225033
"2019-02-01T05:53:59.002795Z","","","","","{""alt"":248.778,""lat"":42.01301135,""lng"":-88.13350576}","","","","","",""
"2019-02-01T05:53:59.002710Z","","","",10.666,"","","","","",12.902940000000001,""
"2019-02-01T05:53:58.844343Z","","","","","","","","",842.0,"",""
"2019-02-01T05:53:58.843559Z","","","","","","",13080.0,"","","",""
"2019-02-01T05:53:55.002661Z","","","","","{""alt"":249.212,""lat"":42.01318679,""lng"":-88.13304383}","","","","","",""
"2019-02-01T05:53:55.002578Z","","","",10.553,"","","","","",12.789940000000001,""
"2019-02-01T05:53:54.843449Z","","","","","","","",2340.0,"","",2340.0012642225033
"2019-02-01T05:53:53.844346Z","","","","","","","","",1011.0,"",""
"2019-02-01T05:53:53.843430Z","","","","","","",13260.0,2280.0,"","",2280.0012642225033
"2019-02-01T05:53:49.001616Z","","","","","{""alt"":249.775,""lat"":42.01351872,""lng"":-88.13242372}","","","","","",""
